Date,Close,High,Low,Open,Volume,Daily_Return,MA_30,Volatility
01-08-2025,1381.76709,1393.862706,1372.447669,1375.025384,10321171,0.002517667,1455.939897,0.011641614
04-08-2025,1399.414673,1403.975263,1379.784153,1383.155066,6312820,0.012771749,1454.442822,0.011893664
05-08-2025,1379.78418,1398.918981,1376.215027,1398.918981,9315972,-0.014027646,1452.489689,0.012119175
06-08-2025,1380.874878,1383.948311,1371.456217,1379.98256,5834312,0.000790485,1450.027616,0.011888976
07-08-2025,1377.503906,1381.767017,1354.304234,1375.818389,9976705,-0.002441185,1446.52784,0.011224509
08-08-2025,1356.088867,1385.237046,1353.312793,1373.141551,8793606,-0.015546264,1441.649967,0.011061651
11-08-2025,1374.331299,1376.115936,1349.545349,1358.270052,9997486,0.013452239,1437.869283,0.011404251
12-08-2025,1368.581055,1389.896972,1363.425504,1370.068212,12244664,-0.004184031,1432.97819,0.01068631
13-08-2025,1370.762085,1379.883387,1365.705776,1376.115874,7457021,0.001593643,1428.477055,0.010708111
14-08-2025,1367.477417,1374.345564,1363.794373,1370.961309,7126128,-0.002396235,1423.899483,0.010699306
18-08-2025,1375.340942,1388.480265,1370.662622,1383.602792,11785109,0.005750388,1419.270068,0.010684304
19-08-2025,1413.564209,1414.460091,1382.706881,1383.602763,14384719,0.027791848,1415.445487,0.011892324
20-08-2025,1406.496948,1418.342205,1403.510755,1406.496948,8725641,-0.004999604,1411.514217,0.011900871
21-08-2025,1418.242676,1425.309975,1413.763386,1418.441707,11021323,0.008351051,1408.589164,0.011924446
22-08-2025,1402.714355,1416.849075,1401.420411,1413.464699,5818868,-0.010948987,1405.205986,0.012036126
25-08-2025,1406.098755,1412.967023,1399.230487,1408.189066,5979407,0.00241275,1402.662675,0.011837278
26-08-2025,1378.526245,1403.510702,1375.241384,1401.519907,12145259,-0.019609227,1399.580334,0.012238734
28-08-2025,1379.521729,1385.792661,1360.210988,1383.503319,13161813,0.000722136,1396.474992,0.012235116
29-08-2025,1350.953735,1397.040698,1343.78692,1374.743765,18758842,-0.020708621,1392.410775,0.01268709
01-09-2025,1347.668945,1356.926071,1334.430108,1349.759256,11232238,-0.00243146,1388.541105,0.012670962
02-09-2025,1360.210938,1378.128096,1348.266165,1348.564833,11517006,0.009306434,1385.102722,0.012852911
03-09-2025,1366.282837,1370.164912,1354.238549,1363.396159,7847563,0.00446394,1383.433207,0.011606976
04-09-2025,1353.044067,1367.676364,1350.85412,1365.486538,13223177,-0.009689626,1381.844556,0.011569209
05-09-2025,1368.671875,1374.644261,1353.044179,1356.727102,5777575,0.01155011,1380.386869,0.01167346
08-09-2025,1372.155762,1379.621245,1366.08386,1373.648858,6986720,0.002545451,1379.762451,0.011372472
09-09-2025,1369.866211,1374.843199,1362.400728,1370.264394,9754452,-0.001668579,1379.431852,0.011285173
10-09-2025,1370.662598,1382.109671,1367.77592,1377.530866,7790815,0.000581361,1379.263293,0.011273719
